Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Data Item,Value
SURVEY,2021,APR,,STATE,ALABAMA,1,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-,13241700
SURVEY,2021,APR,,STATE,ALABAMA,1,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN EGGS+ACI-,158900000
SURVEY,2021,APR,,STATE,ALABAMA,1,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-,3025000
SURVEY,2021,APR,,STATE,ALABAMA,1,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN EGGS+ACI-,36300000
SURVEY,2021,APR,,STATE,ARKANSAS,5,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-, (D)
SURVEY,2021,APR,,STATE,ARKANSAS,5,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN EGGS+ACI-, (D)
SURVEY,2021,APR,,STATE,ARKANSAS,5,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-, (D)
SURVEY,2021,APR,,STATE,ARKANSAS,5,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN EGGS+ACI-, (D)
SURVEY,2021,APR,,STATE,CALIFORNIA,6,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-, (D)
SURVEY,2021,APR,,STATE,CALIFORNIA,6,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN EGGS+ACI-, (D)
SURVEY,2021,APR,,STATE,CALIFORNIA,6,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-, (D)
SURVEY,2021,APR,,STATE,CALIFORNIA,6,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN EGGS+ACI-, (D)
SURVEY,2021,APR,,STATE,COLORADO,8,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-, (D)
SURVEY,2021,APR,,STATE,COLORADO,8,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN EGGS+ACI-, (D)
SURVEY,2021,APR,,STATE,COLORADO,8,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-, (D)
SURVEY,2021,APR,,STATE,COLORADO,8,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN EGGS+ACI-, (D)
SURVEY,2021,APR,,STATE,GEORGIA,13,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-,15958400
SURVEY,2021,APR,,STATE,GEORGIA,13,+ACI-EGGS, HATCHING +AC0- PRODUCTION, MEASURED IN EGGS+ACI-,191500000
SURVEY,2021,APR,,STATE,GEORGIA,13,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN DOZEN+ACI-,19200000
SURVEY,2021,APR,,STATE,GEORGIA,13,+ACI-EGGS, TABLE +AC0- PRODUCTION, MEASURED IN EGGS+ACI-,230400000
